Unnamed: 0,ListingKeyNumeric *,OriginatingSystemKey,ListingID,Geography,MLSAreaMajor,SubdivisionName,ElementarySchool,MiddleOrJuniorSchool,HighSchool,ClosePrice,LotSizeAcres,BuildingAreaTotal,YearBuilt,BasementYN,BathroomsTotalInteger,BathroomsFull,BathroomsHalf,WaterfrontYN,WaterfrontFeatures,PoolPrivateYN,GarageYN,AttachedGarageYN,CarportYN,GarageSpaces,FireplaceYN,FireplacesTotal,LivingArea,Stories,BedroomsTotal,CloseDate,Close_Year,Close_Month,ElemRating,MidRating
2789,539464408,10251663,145780,North of River,(01) North of the River City,Acadian Place,Rock Quarry,Northridge,Northridge,350000,0,2117,2012,0,3,3,0,0,,0,0,0,0,0,1,1,2117,2,4,9/30/2021,2021,9,9,6
2790,539668530,10252355,145800,South Tuscaloosa,(11) South Tuscaloosa County,Fields Crossing,Englewood,Hillcrest Jr,Hillcrest,220000,0,1712,2010,0,2,2,0,0,,0,1,1,0,2,1,0,1712,1,3,9/27/2021,2021,9,6,5
2791,541750337,10256017,145939,Northport City,(08) North Tuscaloosa County,Grand Pointe,Huntington,Echols,Tuscaloosa County,312000,0,1961,2015,0,2,2,0,0,,0,0,0,0,0,1,0,1961,1,4,10/1/2021,2021,10,6,5
2796,542443522,10262444,146129,Northport City,(08) North Tuscaloosa County,Grand Pointe,Huntington,Echols,Tuscaloosa County,295500,0,1725,2017,0,2,2,0,0,,0,1,1,0,2,1,1,1725,1,3,10/27/2021,2021,10,6,5
2797,543313541,10265031,146223,Northport City,(06) Northport City,Northwood Lake,Vestavia,Collins Riverside,Tuscaloosa County,275000,0.44,2100,1977,1,3,3,0,0,,1,1,1,0,2,1,0,2100,2,4,11/1/2021,2021,11,7,3
2798,544113614,10265153,146226,County North,(08) North Tuscaloosa County,Old Fayette Road,Walker,Northside,Northside,169900,1.04,1100,2009,0,2,2,0,0,,0,0,0,0,0,0,0,1100,1,3,10/27/2021,2021,10,7,6
2799,544405812,10266703,146271,North of River,(01) North of the River City,Wood Villas,Rock Quarry,Northridge,Northridge,140000,0.33,1561,1978,0,2,2,0,0,,0,0,0,1,0,1,1,1561,1,3,9/27/2021,2021,9,9,6
2800,544410507,10266802,146278,Midtown,(02) Central Tuscaloosa City,Parkwood,University Place,Westlawn,Central,165000,0,1514,1960,0,2,1.5,0.5,0,,0,0,0,0,0,1,1,1514,1,3,12/3/2021,2021,12,3,0
2801,544451381,10265999,146246,Northport City,(06) Northport City,Brookmeade,Crestmont,Echols,Tuscaloosa County,189000,0,2000,1960,0,2,2,0,0,,0,0,0,1,0,1,1,2000,1,4,10/14/2021,2021,10,5,5
2802,544492091,10267698,146312,North of River,(01) North of the River City,Woodridge,Verner,Northridge,Northridge,285000,0,2672,1983,0,3,3,0,0,,0,0,0,0,0,1,1,2672,1,3,11/15/2021,2021,11,7,6
